<color=#C0C0C0>] /item_list</color>
<color=#000000>AACannon  (ITEM_AACANNON_NAME)</color>
<color=#77FF17>EquipmentMagazine  (Fuel Cell)</color>
<color=#ED7FCD>EquipmentMagazineVoid  (Lysate Cell)</color>
<color=#77FF17>ExecuteLowHealthElite  (Old Guillotine)</color>
<color=#77FF17>ExplodeOnDeath  (Will-o'-the-wisp)</color>
<color=#ED7FCD>ExplodeOnDeathVoid  (Voidsent Flame)</color>
<color=#FFEB04>ExtraEquipment  (Functional Coupler)</color>
<color=#E7543A>ExtraLife  (Dio's Best Friend)</color>
<color=#000000>ExtraLifeConsumed  (Dio's Best Friend (Consumed))</color>
<color=#ED7FCD>ExtraLifeVoid  (Pluripotent Larva)</color>
<color=#000000>ExtraLifeVoidConsumed  (Pluripotent Larva (Consumed))</color>
<color=#77FF17>ExtraShrineItem  (Chance Doll)</color>
<color=#77FF17>ExtraStatsOnLevelUp  (Prayer Beads)</color>
<color=#E7543A>FallBoots  (H3AD-5T v2)</color>
<color=#77FF17>Feather  (Hopoo Feather)</color>
<color=#77FF17>FireRing  (Kjaro's Band)</color>
<color=#FFEB04>FireballsOnHit  (Molten Perforator)</color>
<color=#FFFFFF>Firework  (Bundle of Fireworks)</color>
<color=#FFFFFF>FlatHealth  (Bison Steak)</color>
<color=#307FFF>FocusConvergence  (Focused Convergence)</color>
<color=#FFFFFF>FragileDamageBonus  (Delicate Watch)</color>
<color=#000000>FragileDamageBonusConsumed  (Delicate Watch (Broken))</color>
<color=#77FF17>FreeChest  (Shipping Request Form)</color>
<color=#000000>Ghost  (ITEM_GHOST_NAME)</color>
<color=#E7543A>GhostOnKill  (Happiest Mask)</color>
<color=#307FFF>GoldOnHit  (Brittle Crown)</color>
<color=#FFFFFF>GoldOnHurt  (Roll of Pennies)</color>
<color=#000000>GummyCloneIdentifier  (ITEM_GUMMYCLONEIDENTIFIER_NAME)</color>
<color=#307FFF>HalfAttackSpeedHalfCooldowns  (Light Flux Pauldron)</color>
<color=#307FFF>HalfSpeedDoubleHealth  (Stone Flux Pauldron)</color>
<color=#E7543A>HeadHunter  (Wake of Vultures)</color>
<color=#77FF17>HealOnCrit  (Harvester's Scythe)</color>
<color=#FFFFFF>HealWhileSafe  (Cautious Slug)</color>
<color=#FFFFFF>HealingPotion  (Power Elixir)</color>
<color=#000000>HealingPotionConsumed  (Empty Bottle)</color>
<color=#000000>HealthDecay  (ITEM_HEALTHDECAY_NAME)</color>
<color=#FFFFFF>Hoof  (Paul's Goat Hoof)</color>
<color=#FFFFFF>ITEM_SANDSWEPT_AMBER_KNIFE  (Amber Knife)</color>
<color=#E7543A>ITEM_SANDSWEPT_BLEEDING_WITNESS  (Bleeding Witness)</color>
<color=#E7543A>ITEM_SANDSWEPT_CEREMONIAL_JAR  (Ceremonial Jar)</color>
<color=#77FF17>ITEM_SANDSWEPT_CROWNS_DIAMOND  (Crown's Diamond)</color>
<color=#77FF17>ITEM_SANDSWEPT_DRIFTING_PERCEPTION  (Drifting Perception)</color>
<color=#ED7FCD>ITEM_SANDSWEPT_FESTERING_HUNGER  (Festering Hunger)</color>
<color=#FFFFFF>ITEM_SANDSWEPT_FRACTURED_TIMEPIECE  (Fractured Timepiece)</color>
<color=#E7543A>ITEM_SANDSWEPT_GLACIAL_PLASMA  (Glacial Plasma)</color>
<color=#307FFF>ITEM_SANDSWEPT_HALLOWED_ICHOR  (Hallowed Ichor)</color>
<color=#77FF17>ITEM_SANDSWEPT_MAKESHIFT_PLATE  (Makeshift Plate)</color>
<color=#ED7FCD>ITEM_SANDSWEPT_MILLENIUM  (Millenium)</color>
<color=#77FF17>ITEM_SANDSWEPT_NUCLEAR_SALVO  (Nuclear Salvo)</color>
<color=#77FF17>ITEM_SANDSWEPT_POCKET_PLUTONIUM  (Pocket Plutonium)</color>
<color=#ED7FCD>ITEM_SANDSWEPT_PRESERVED_ATOLL  (Preserved Atoll)</color>
<color=#FFFFFF>ITEM_SANDSWEPT_RED_SPRING_WATER  (Red Spring Water)</color>
<color=#77FF17>ITEM_SANDSWEPT_SACRIFICIAL_BAND  (Sacrificial Band)</color>
<color=#307FFF>ITEM_SANDSWEPT_SEQUENCED_FATE  (Sequenced Fate)</color>
<color=#77FF17>ITEM_SANDSWEPT_SMOULDERING_DOCUMENT  (Smouldering Document)</color>
<color=#77FF17>ITEM_SANDSWEPT_SUN_FRAGMENT  (Sun Fragment)</color>
<color=#FFFFFF>ITEM_SANDSWEPT_TEMPORAL_TRANSISTOR  (Temporal Transistor)</color>
<color=#307FFF>ITEM_SANDSWEPT_THEIR_PROMINENCE  (Their Prominence)</color>
<color=#E7543A>ITEM_SANDSWEPT_TORN_FEATHER  (Torn Feather)</color>
<color=#000000>ITEM_SANDSWEPT_TWISTED_WOUND  (Twisted Wound)</color>
<color=#77FF17>ITEM_SANDSWEPT_UNIVERSAL_VIP_PASS  (Universal VIP Pass)</color>
<color=#77FF17>IceRing  (Runald's Band)</color>
<color=#E7543A>Icicle  (Frost Relic)</color>
<color=#FFFFFF>IgniteOnKill  (Gasoline)</color>
<color=#E7543A>ImmuneToDebuff  (Ben's Raincoat)</color>
<color=#FFFFFF>IncreaseDamageOnMultiKill  (Chronic Expansion)</color>
<color=#E7543A>IncreaseHealing  (Rejuvenation Rack)</color>
<color=#77FF17>IncreasePrimaryDamage  (Luminous Shot)</color>
<color=#000000>Incubator  (Ancestral Incubator)</color>
<color=#77FF17>Infusion  (Infusion)</color>
<color=#000000>InvadingDoppelganger  (ITEM_INVADINGDOPPELGANGER_NAME)</color>
<color=#E7543A>ItemDropChanceOnKill  (Sonorous Whispers)</color>
<color=#77FF17>JumpBoost  (Wax Quail)</color>
<color=#77FF17>JumpDamageStrike  (Faraday Spur)</color>
<color=#000000>Junk  (Junk)</color>
<color=#E7543A>KillEliteFrenzy  (Brainstalks)</color>
<color=#77FF17>KnockBackHitEnemies  (Breaching Fin)</color>
<color=#FFEB04>Knurl  (Titanic Knurl)</color>
<color=#E7543A>LaserTurbine  (Resonance Disc)</color>
<color=#000000>LemurianHarness  (ITEM_LEMURIANHARNESS_NAME)</color>
<color=#000000>LevelBonus  (ITEM_LEVELBONUS_NAME)</color>
<color=#FFEB04>LightningStrikeOnHit  (Charged Perforator)</color>
<color=#77FF17>LowerPricedChests  (Sale Star)</color>
<color=#000000>LowerPricedChestsConsumed  (Sale Star (Consumed))</color>
<color=#307FFF>LunarBadLuck  (Purity)</color>
<color=#307FFF>LunarDagger  (Shaped Glass)</color>
<color=#307FFF>LunarPrimaryReplacement  (Visions of Heresy)</color>
<color=#307FFF>LunarSecondaryReplacement  (Hooks of Heresy)</color>
<color=#307FFF>LunarSpecialReplacement  (Essence of Heresy)</color>
<color=#307FFF>LunarSun  (Egocentrism)</color>
<color=#307FFF>LunarTrinket  (Beads of Fealty)</color>
<color=#307FFF>LunarUtilityReplacement  (Strides of Heresy)</color>
<color=#000000>LunarWings  (Blessings of Terafirmae)</color>
<color=#000000>MageAttunement  (ITEM_MAGEATTUNEMENT_NAME)</color>
<color=#FFEB04>MasterBattery  (Encrypted Cerebellum)</color>
<color=#FFEB04>MasterCore  (Exposed Cerebellum)</color>
<color=#FFFFFF>Medkit  (Medkit)</color>
<color=#E7543A>MeteorAttackOnHighDamage  (Runic Lens)</color>
<color=#000000>MinHealthPercentage  ()</color>
<color=#000000>MinionLeash  (ITEM_MINIONLEASH_NAME)</color>
<color=#FFEB04>MinorConstructOnKill  (Defense Nucleus)</color>
<color=#77FF17>Missile  (AtG Missile Mk. 1)</color>
<color=#ED7FCD>MissileVoid  (Plasma Shrimp)</color>
<color=#000000>MoneyLoan  (Ominous Loan Note)</color>
<color=#000000>MonsoonPlayerHelper  (ITEM_MONSOONPLAYERHELPER_NAME)</color>
<color=#307FFF>MonstersOnShrineUse  (Defiant Gouge)</color>
<color=#E7543A>MoreMissile  (Pocket I.C.B.M.)</color>
<color=#77FF17>MoveSpeedOnKill  (Hunter's Harpoon)</color>
<color=#FFFFFF>Mushroom  (Bustling Fungus)</color>
<color=#ED7FCD>MushroomVoid  (Weeping Fungus)</color>
<color=#FFFFFF>NearbyDamageBonus  (Focus Crystal)</color>
<color=#E7543A>NovaOnHeal  (N'kuhana's Opinion)</color>
<color=#FFEB04>NovaOnLowHealth  (Genesis Loop)</color>
<color=#307FFF>OnLevelUpFreeUnlock  (Longstanding Solitude)</color>
<color=#FFFFFF>OutOfCombatArmor  (Oddly-shaped Opal)</color>
<color=#FFEB04>ParentEgg  (Planula)</color>
<color=#FFEB04>Pearl  (Pearl)</color>
<color=#E7543A>PermanentDebuffOnHit  (Symbiotic Scorpion)</color>
<color=#FFFFFF>PersonalShield  (Personal Shield Generator)</color>
<color=#77FF17>Phasing  (Old War Stealthkit)</color>
<color=#E7543A>PhysicsProjectile  (Orphaned Core)</color>
<color=#E7543A>Plant  (Interstellar Desk Plant)</color>
<color=#000000>PlantOnHit  (ITEM_PLANTONHIT_NAME)</color>
<color=#000000>PlasmaCore  (ITEM_PLASMACORE_NAME)</color>
<color=#FFEB04>PowerCube  (Prison Matrix)</color>
<color=#000000>PowerOrbSphere  (Ocular Battery)</color>
<color=#FFEB04>PowerPyramid  (Sentry Key)</color>
<color=#77FF17>PrimarySkillShuriken  (Shuriken)</color>
<color=#307FFF>RandomDamageZone  (Mercurial Rachis)</color>
<color=#E7543A>RandomEquipmentTrigger  (Bottled Chaos)</color>
<color=#307FFF>RandomlyLunar  (Eulogy Zero)</color>
<color=#77FF17>RegeneratingScrap  (Regenerating Scrap)</color>
<color=#000000>RegeneratingScrapConsumed  (Regenerating Scrap (Consumed))</color>
<color=#307FFF>RepeatHeal  (Corpsebloom)</color>
<color=#FFEB04>RoboBallBuddy  (Empathy Cores)</color>
<color=#77FF17>ScrapGreen  (Item Scrap, Green)</color>
<color=#000000>ScrapGreenSuppressed  (Strange Scrap, Green)</color>
<color=#E7543A>ScrapRed  (Item Scrap, Red)</color>
<color=#000000>ScrapRedSuppressed  (Strange Scrap, Red)</color>
<color=#FFFFFF>ScrapWhite  (Item Scrap, White)</color>
<color=#000000>ScrapWhiteSuppressed  (Strange Scrap, White)</color>
<color=#FFEB04>ScrapYellow  (Item Scrap, Yellow)</color>
<color=#FFFFFF>SecondarySkillMagazine  (Backup Magazine)</color>
<color=#77FF17>Seed  (Leeching Seed)</color>
<color=#E7543A>SharedSuffering  (Networked Suffering)</color>
<color=#77FF17>ShieldBooster  (Kinetic Dampener)</color>
<color=#307FFF>ShieldOnly  (Transcendence)</color>
<color=#FFEB04>ShinyPearl  (Irradiant Pearl)</color>
<color=#FFEB04>ShockDamageAura  (Faulty Conductor)</color>
<color=#E7543A>ShockNearby  (Unstable Tesla Coil)</color>
<color=#FFEB04>SiphonOnLowHealth  (Mired Urn)</color>
<color=#000000>SkullCounter  (Skull Token)</color>
<color=#77FF17>SlowOnHit  (Chronobauble)</color>
<color=#ED7FCD>SlowOnHitVoid  (Tentabauble)</color>
<color=#FFFFFF>SpeedBoostPickup  (Elusive Antlers)</color>
<color=#77FF17>SpeedOnPickup  (Collector's Compulsion)</color>
<color=#77FF17>SprintArmor  (Rose Buckler)</color>
<color=#FFFFFF>SprintBonus  (Energy Drink)</color>
<color=#77FF17>SprintOutOfCombat  (Red Whip)</color>
<color=#FFEB04>SprintWisp  (Little Disciple)</color>
<color=#77FF17>Squid  (Squid Polyp)</color>
<color=#000000>StatsFromScrap  (ITEM_STATSFROMSCRAP_NAME)</color>
<color=#FF8000>Stew  (Hearty Stew)</color>
<color=#FFFFFF>StickyBomb  (Sticky Bomb)</color>
<color=#77FF17>StrengthenBurn  (Ignition Tank)</color>
<color=#E7543A>StunAndPierce  (Electric Boomerang)</color>
<color=#FFFFFF>StunChanceOnHit  (Stun Grenade)</color>
<color=#FFFFFF>Syringe  (Soldier's Syringe)</color>
<color=#77FF17>TPHealingNova  (Lepton Daisy)</color>
<color=#E7543A>Talisman  (Soulbound Catalyst)</color>
<color=#000000>TeamSizeDamageBonus  ()</color>
<color=#77FF17>TeleportOnLowHealth  (Unstable Transmitter)</color>
<color=#000000>TeleportOnLowHealthConsumed  (Unstable Transmitter (Consumed))</color>
<color=#000000>TeleportWhenOob  ()</color>
<color=#000000>TempestOnKill  (ITEM_TEMPESTONKILL_NAME)</color>
<color=#77FF17>Thorns  (Razorwire)</color>
<color=#FFEB04>TitanGoldDuringTP  (Halcyon Seed)</color>
<color=#000000>TonicAffliction  (Tonic Affliction)</color>
<color=#FFFFFF>Tooth  (Monster Tooth)</color>
<color=#307FFF>TransferDebuffOnHit  (Neutronium Weight)</color>
<color=#FFFFFF>TreasureCache  (Rusted Key)</color>
<color=#ED7FCD>TreasureCacheVoid  (Encrusted Key)</color>
<color=#77FF17>TriggerEnemyDebuffs  (Noxious Thorn)</color>
<color=#FF8000>UltimateMeal  (Ultimate Meal)</color>
<color=#000000>UseAmbientLevel  ()</color>
<color=#E7543A>UtilitySkillMagazine  (Hardlight Afterburner)</color>
<color=#ED7FCD>VV_ITEM_ADZE_ITEM  (Abyss-Touched Adze)</color>
<color=#ED7FCD>VV_ITEM_BARRIERLOTUS_ITEM  (Crystalline Lotus)</color>
<color=#000000>VV_ITEM_BROKEN_MESS  (Broken Mess)</color>
<color=#ED7FCD>VV_ITEM_CLOCKWORK_ITEM  (Clockwork Mechanism)</color>
<color=#ED7FCD>VV_ITEM_CORE_ITEM  (Corrosive Core)</color>
<color=#ED7FCD>VV_ITEM_CORNUCOPIACELL_ITEM  (Ceaseless Cornucopia)</color>
<color=#ED7FCD>VV_ITEM_CRYOCANISTER_ITEM  (Supercritical Coolant)</color>
<color=#ED7FCD>VV_ITEM_DASHQUILL_ITEM  (Quasitemporal Quill)</color>
<color=#ED7FCD>VV_ITEM_EHANCE_VIALS_ITEM  (Enhancement Vials)</color>
<color=#000000>VV_ITEM_EMPTY_VIALS  (Empty Vials)</color>
<color=#ED7FCD>VV_ITEM_EXEBLADE_ITEM  (Executioner's Burden)</color>
<color=#ED7FCD>VV_ITEM_EXT_EXHAUST_ITEM  (Extraterrestrial Exhaust)</color>
<color=#ED7FCD>VV_ITEM_FIN_ITEM  (Warden's Clutch)</color>
<color=#ED7FCD>VV_ITEM_ORRERY_ITEM  (Lens-Maker's Orrery)</color>
<color=#000000>VV_ITEM_SHATTERED_VIALS  (Empty Vials)</color>
<color=#ED7FCD>VoidMegaCrabItem  (Newly Hatched Zoea)</color>
<color=#000000>VoidmanPassiveItem  ()</color>
<color=#000000>WarCryOnCombat  (ITEM_WARCRYONCOMBAT_NAME)</color>
<color=#77FF17>WarCryOnMultiKill  (Berzerker's Pauldron)</color>
<color=#FFFFFF>WardOnLevel  (Warbanner)</color>
<color=#FF8000>WyrmOnHit  (Sautéed Worms)</color>


/// equimpents


</color>
BFG  (Preon Accumulator)
Blackhole  (Primordial Cube)
BossHunter  (Trophy Hunter's Tricorn)
BossHunterConsumed  (Trophy Hunter's Tricorn (Consumed))
BurnNearby  (Helfire Tincture)
Cleanse  (Blast Shower)
CommandMissile  (Disposable Missile Launcher)
CrippleWard  (Effigy of Grief)
CritOnUse  (Ocular HUD)
DeathProjectile  (Forgive Me Please)
DroneBackup  (The Back-up)
DroneShockDamage  (Faulty Conductor)
ELITE_EQUIPMENT_MOTIVATING  (John Hopoo)
ELITE_EQUIPMENT_OSMIUM  (Artificial Void)
EQUIPMENT_SANDSWEPT_CORRUPTED_CATALYST  (Corrupted Catalyst)
EQUIPMENT_SANDSWEPT_FLAWLESS_DESIGN  (Flawless Design)
EQUIPMENT_SANDSWEPT_GALVANIC_CELL_SHIELD  (Galvanic Cell Shield)
EQUIPMENT_SANDSWEPT_THE_SAND_SWEEPER  (The Sand Sweeper)
EliteAurelioniteEquipment  (Aurelionite's Blessing)
EliteBeadEquipment  (His Spiteful Boon)
EliteCollectiveEquipment  (Of One Mind)
EliteEarthEquipment  (His Reassurance)
EliteFireEquipment  (Ifrit's Distinction)
EliteGoldEquipment  (Coven of Gold)
EliteHauntedEquipment  (Spectral Circlet)
EliteIceEquipment  (Her Biting Embrace)
EliteLightningEquipment  (Silence Between Two Strikes)
EliteLunarEquipment  (Shared Design)
ElitePoisonEquipment  (N'kuhana's Retort)
EliteSecretSpeedEquipment  (Beyond the Limits)
EliteVoidEquipment  (EQUIPMENT_AFFIXVOID_NAME)
EliteYellowEquipment  ()
Enigma  (EQUIPMENT_ENIGMA_NAME)
FireBallDash  (Volcanic Egg)
Fruit  (Foreign Fruit)
GainArmor  (Jade Elephant)
Gateway  (Eccentric Vase)
GhostGun  (Reaper's Remorse)
GoldGat  (The Crowdfunder)
GroundEnemies  (G-Force Accelerator)
GummyClone  (Goobo Jr.)
HealAndRevive  (Seed of Life)
HealAndReviveConsumed  (Seed of Life (Consumed))
IrradiatingLaser  (Overloading Excavator)
Jetpack  (Milky Chrysalis)
LifestealOnHit  (Super Massive Leech)
Lightning  (Royal Capacitor)
LunarPortalOnUse  (Elegy of Extinction)
LunarPotion  (EQUIPMENT_LUNARPOTION_NAME)
Meteor  (Glowing Meteorite)
Molotov  (Molotov (6-Pack))
MultiShopCard  (Executive Card)
OrbOnUse  (EQUIPMENT_ORBONUSE_NAME)
OrbitalLaser  (EQUIPMENT_ORBITALLASER_NAME)
Parry  (Deus Ex Machina)
PassiveHealing  (Gnarled Woodsprite)
QuestVolatileBattery  (Fuel Array)
Recycle  (Recycler)
Saw  (Sawmerang)
Scanner  (Radar Scanner)
SoulCorruptor  (EQUIPMENT_SOULCORRUPTOR_NAME)
SoulJar  (Jar of Souls)
TeamWarCry  (Gorag's Opus)
Tonic  (Spinel Tonic)
VendingMachine  (Remote Caffeinator)
